,weight,n_prot,chi,eRMSD
128,2.411326123796611e-05,1.0,3.086969,1.226294
129,5.252593393181993e-09,0.0,-3.079512,1.223568
130,4.95096117705782e-09,0.0,2.940814,1.227663
131,6.836205218104749e-09,0.0,3.107765,1.212147
132,3.4138871270786e-05,1.0,3.126578,1.196100
133,6.19136652364774e-06,1.0,2.598889,1.243174
134,8.641098121743304e-06,1.0,2.641277,1.219198
135,4.80774918103617e-06,1.0,2.470028,1.256722
136,4.973652382249451e-09,0.0,-3.066064,1.225731
137,1.1216323169351347e-09,0.0,2.353693,1.233360
138,6.652560324528564e-06,1.0,2.558343,1.228275
139,2.0133400583804512e-05,1.0,2.906731,1.221678
140,1.2122464528680608e-05,1.0,2.838516,1.246673
141,2.744871056949729e-05,1.0,-2.934711,1.154118
142,1.6325002789573423e-05,1.0,2.745179,1.165108
143,2.2943703933656276e-05,1.0,2.825819,1.169146
144,3.6275330825042004e-05,1.0,2.960988,1.156234
145,4.725114517336369e-09,0.0,2.832515,1.165650
146,1.8799149273744625e-05,1.0,2.797461,1.143051
147,4.067191679451337e-05,1.0,3.057800,1.142247
148,4.137027897687357e-05,1.0,3.035824,1.154118
149,3.164702759250416e-05,1.0,2.918626,1.150347
150,6.515493319273456e-09,0.0,2.922447,1.154118
151,2.8575706964854998e-05,1.0,2.887629,1.151890
152,7.6529863809839e-06,1.0,2.690203,1.244724
153,3.6149321915622674e-05,1.0,-3.079597,1.135678
154,8.011854672709892e-10,0.0,2.212493,1.113122
155,9.916628975294085e-06,1.0,2.758468,1.240846
156,2.1878302330497493e-05,1.0,2.813902,1.165556
157,6.818181498257389e-06,1.0,2.774655,1.297594
158,7.85733670389625e-06,1.0,2.587925,1.140554
159,4.212575729430363e-05,1.0,3.092559,1.148084
160,1.3943614443345986e-05,1.0,2.987187,1.057902
161,2.8947575279653645e-05,1.0,2.956102,1.121757
162,1.889948288280665e-05,1.0,-2.990356,1.088229
163,2.043519595238629e-05,1.0,-2.804557,1.154118
164,2.9052529547579878e-05,1.0,-2.957049,1.154118
165,1.6177547775469082e-05,1.0,-2.542525,1.154118
166,2.068836418406071e-05,1.0,-2.811274,1.156326
167,1.6558186443297504e-05,1.0,-2.610128,1.154118
168,1.4220614408160861e-05,1.0,2.801816,1.222430
169,2.6702807592118436e-05,1.0,3.127398,1.216785
170,3.468349674619176e-05,1.0,-3.031793,1.149978
171,2.782435348636508e-05,1.0,-2.944965,1.145597
172,8.669348107258597e-09,0.0,3.090930,1.147306
173,2.4809416650365365e-05,1.0,-2.894161,1.154118
174,1.2981548519888681e-05,1.0,-2.105653,1.154373
175,1.3536649721897696e-05,1.0,-1.915881,1.154118
176,2.2228679271918984e-05,1.0,-2.846503,1.154118
177,8.868520937833775e-09,0.0,3.066533,1.155318
178,2.884375038598369e-05,1.0,-2.954207,1.154118
179,3.5372575427020824e-05,1.0,2.952667,1.154118
180,8.673025154569708e-09,0.0,3.049390,1.181428
181,2.0297963533349098e-05,1.0,3.052939,1.239435
182,1.1639183122820413e-05,1.0,-2.819580,1.222337
183,9.30362305924397e-06,1.0,-2.737721,1.227234
184,3.599834043178753e-05,1.0,2.967797,1.174573
185,9.67499637596926e-06,1.0,2.637549,1.204293
186,2.2683536934972568e-05,1.0,2.906107,1.211531
187,4.265590871306408e-06,1.0,2.615430,1.303802
188,7.06000020845805e-06,1.0,2.639766,1.239173
189,7.815485735354478e-06,1.0,2.767683,1.356598
190,1.6927326039790664e-05,1.0,-2.650951,1.154118
191,9.704108930850882e-06,1.0,-2.166313,1.206618
192,1.4004542869126342e-05,1.0,-2.775349,1.202453
193,1.8421579057774094e-05,1.0,-1.592486,1.156014
194,1.5251852083192965e-05,1.0,-2.381712,1.154118
195,2.3101899830300845e-05,1.0,-2.863875,1.154118
196,3.857837259586193e-05,1.0,-3.111784,1.138938
197,2.1501415926581835e-05,1.0,2.842948,1.134307
198,8.325976639882072e-06,1.0,2.551066,1.194414
199,4.641588070811737e-05,1.0,1.045448,1.130048
200,7.64582373235838e-05,1.0,1.092936,1.145654
201,1.1197885858475404e-05,1.0,0.635857,1.154986
202,1.1252466781922978e-06,1.0,0.416090,1.154118
203,1.2584391468120804e-07,1.0,0.123083,1.154118
204,2.421023803483729e-05,1.0,0.726891,1.154062
205,2.6656146612007915e-07,1.0,0.258166,1.154118
206,5.5995428573121065e-05,1.0,1.159477,1.137101
207,1.8573539951521075e-06,1.0,0.700329,1.067063
208,2.1157086798718495e-07,1.0,0.438647,1.066707
209,9.67517126795023e-07,1.0,0.449315,1.133944
210,1.755512258567851e-07,1.0,0.273981,1.125497
211,4.804665401303973e-07,1.0,0.334611,1.151443
212,1.915960082672568e-07,1.0,0.279896,1.127788
213,1.4244562220638014e-07,1.0,0.154026,1.154118
214,1.629498848096571e-06,1.0,0.451575,1.154118
215,6.310650380681803e-05,1.0,0.900970,1.151138
216,1.7394286725247154e-07,1.0,0.193523,1.154118
217,1.0820207910533634e-07,1.0,-0.034482,1.154118
218,1.5674227181704868e-05,1.0,1.227332,1.099107
219,5.385765103406663e-05,1.0,1.052346,1.134602
220,1.3228589433196873e-05,1.0,0.656297,1.154118
221,1.3368274522293708e-05,1.0,0.657440,1.154118
222,1.4219690312344343e-06,1.0,0.464617,1.143036
223,5.086594219953157e-07,1.0,0.335200,1.154118
224,5.198615607287199e-07,1.0,0.360172,1.143917
225,1.0827209591137817e-06,1.0,0.412355,1.154118
226,1.088473222253323e-07,1.0,0.057680,1.155496
227,1.0603613076685694e-07,1.0,0.046874,1.154118
228,1.7714108165152497e-07,1.0,-0.180349,1.154118
229,1.4815184306598605e-05,1.0,-1.023448,1.154118
230,3.5647366426019663e-07,1.0,-0.295964,1.155855
231,1.1831006065127586e-07,1.0,0.103465,1.154118
232,3.1474381213857065e-07,1.0,-0.301137,1.131681
233,8.404320293405325e-07,1.0,-0.417497,1.150851
234,4.859330914058614e-07,1.0,0.359721,1.141001
235,9.504593851519281e-08,1.0,0.039202,1.144335
236,1.0504214809915836e-07,1.0,-0.032775,1.150816
237,4.2027121479759947e-07,1.0,-0.320826,1.154118
238,9.663155612075011e-08,1.0,-0.015957,1.144353
239,1.4262665469390878e-07,1.0,-0.136520,1.151736
240,5.656149626312445e-08,1.0,-0.186198,1.053584
241,2.3899222619097892e-08,1.0,0.011031,1.034706
242,2.5194610682189013e-08,1.0,-0.030243,1.032385
243,3.5575982624877746e-08,1.0,-0.131890,1.016717
244,2.648112998080871e-08,1.0,-0.043043,1.037481
245,7.022088534736261e-08,1.0,0.129912,1.114030
246,2.8110203037399327e-06,1.0,-0.656880,1.095152
247,3.565131271627226e-07,1.0,-0.402884,1.072803
248,3.872536742758725e-07,1.0,-0.432750,1.042325
249,1.3190218116316723e-05,1.0,-0.950412,1.154118
250,1.7912251964293477e-06,1.0,-0.518757,1.154118
251,5.416043385173445e-07,1.0,-0.406170,1.108784
252,1.565296745379288e-07,1.0,-0.171802,1.142603
253,4.538857933981785e-07,1.0,-0.357208,1.127229
254,9.102229581281074e-08,1.0,0.088746,1.136249
255,5.956773006752842e-08,1.0,-0.080665,1.098072
256,1.8798725960559644e-07,1.0,-0.183273,1.166295
257,1.0169117150816759e-07,1.0,0.045662,1.150050
258,8.01860755798493e-07,1.0,0.358396,1.166747
259,2.4364754858996627e-07,1.0,0.190784,1.192532
260,1.2887148276833805e-07,1.0,0.058789,1.182891
261,1.0824593424878005e-06,1.0,-0.490486,1.112812
262,1.0233206580730319e-05,1.0,-0.977314,1.116256
263,2.1617762159248024e-06,1.0,-0.614589,1.094630
264,2.573106094347897e-08,1.0,0.100238,1.041748
265,6.328855700454712e-08,1.0,-0.214993,0.990271
266,2.5308514769373498e-08,1.0,-0.041878,1.017712
267,4.6100574737597574e-08,1.0,-0.176748,1.023038
268,7.805055901391354e-06,1.0,-1.044118,1.068219
269,1.1304829670032872e-05,1.0,-1.274555,1.105088
270,6.810120508117577e-06,1.0,-0.951610,1.059561
271,5.245375980447206e-07,1.0,-0.466074,1.025888
272,9.450376495853776e-06,1.0,-1.295012,1.081519
273,5.1374499788433915e-06,1.0,-2.059355,1.071585
274,1.3543600455620254e-05,1.0,-2.190949,1.155688
275,2.840043659168425e-09,0.0,-2.103079,1.121116
276,1.3573435241122564e-05,1.0,-2.505618,1.188039
277,5.536105362817097e-06,1.0,-2.150924,1.077307
278,2.4596760526809258e-09,0.0,-2.945897,1.260102
279,5.6273105126234266e-09,0.0,-2.999876,1.200675
280,2.3046935111282823e-05,1.0,-3.080307,1.219732
281,4.357102777159248e-09,0.0,3.102142,1.362423
282,1.1834730637566056e-05,1.0,2.901602,1.267624
283,3.802572892766865e-09,0.0,3.089097,1.265447
284,1.2609177296040702e-05,1.0,2.963758,1.331079
285,2.1423848744906352e-05,1.0,2.879712,1.209579
286,8.143359947994721e-06,1.0,-2.903279,1.312830
287,1.1124700494719803e-05,1.0,2.898520,1.339066
288,1.6720751818694535e-05,1.0,3.122205,1.349468
289,1.3310647434927139e-05,1.0,2.887673,1.251618
290,1.6162389983819494e-05,1.0,2.781112,1.202678
291,4.69052381209805e-06,1.0,2.624489,1.283545
292,9.85792641226098e-06,1.0,-2.960231,1.267960
293,2.8818342815327487e-05,1.0,2.965640,1.203052
294,1.2470244394079046e-05,1.0,-3.023769,1.259836
295,3.6767536596442365e-05,1.0,3.085764,1.190337
296,3.014345292604815e-09,0.0,-3.113462,1.314042
297,1.7933418220812375e-05,1.0,2.818617,1.206538
298,1.94352451404549e-05,1.0,3.129187,1.241018
299,1.2821192925125848e-05,1.0,2.979703,1.280310
300,2.629802246721681e-09,0.0,2.932004,1.314698
301,2.6280911105825614e-05,1.0,3.034115,1.218699
302,1.1651800716481403e-05,1.0,-3.066508,1.286622
303,1.504507810924205e-05,1.0,3.038026,1.266732
304,9.677260126352915e-06,1.0,-2.819667,1.235526
305,4.978754975709935e-06,1.0,-2.691816,1.280914
306,1.240470424431649e-05,1.0,-3.103214,1.308589
307,5.175013341897031e-06,1.0,-2.632679,1.317653
308,1.2033492751183494e-05,1.0,-2.956976,1.246558
309,3.7901313865683634e-06,1.0,-2.339319,1.302317
310,6.936990392741252e-06,1.0,-2.357056,1.230566
311,4.728894037319267e-06,1.0,-2.340043,1.328181
312,5.698114542570113e-06,1.0,-2.076110,1.240438
313,4.074841548164924e-06,1.0,-2.394741,1.273206
314,2.3398779826361392e-05,1.0,3.109561,1.227852
315,1.3410806159245352e-05,1.0,3.061369,1.288308
316,1.4196062392822323e-05,1.0,-2.889063,1.374173
317,7.481110668728517e-06,1.0,-2.748463,1.244181
318,1.324990951878806e-05,1.0,-2.736439,1.202030
319,1.4445471630221535e-05,1.0,-3.056053,1.252777
320,1.4689018985168343e-05,1.0,-2.623060,1.127909
321,7.991112532047037e-06,1.0,-2.909185,1.280691
322,1.013971435457726e-05,1.0,-2.654243,1.371383
